user_id,favorite_genre
1001,Romance
1002,Animation
1003,Action
1004,Drama
1005,Thriller
1006,Sci-Fi
1007,Comedy
1008,Fantasy
1009,Horror
1010,Adventure
1011,Crime
1012,Mystery
1013,Animation
1014,Romance
1015,Sci-Fi
1016,Drama
1017,Comedy
1018,Thriller
1019,Fantasy
1020,Horror
1021,Adventure
1022,Crime
1023,Mystery
1024,Sci-Fi
1025,Romance
1026,Animation
1027,Drama
1028,Thriller
1029,Adventure
1030,Comedy
1031,Horror
1032,Fantasy
1033,Action
1034,Mystery
1035,Crime
1036,Animation
1037,Romance
1038,Comedy
1039,Drama
1040,Sci-Fi
